State,District,Crop,Season,Area-2024-25,Production-2024-25,Yield-2024-25
Punjab,Amritsar,Rice,Kharif,1.82,6.27,3438
Punjab,Amritsar,Rice,Total,1.82,6.27,3438
Punjab,Amritsar,Wheat,Rabi,1.86,9.67,5188
Punjab,Amritsar,Wheat,Total,1.86,9.67,5188
Punjab,Amritsar,Maize,Kharif,0,0.01,4579
Punjab,Amritsar,Maize,Total,0,0.01,4579
Punjab,Amritsar,Nutri/Coarse Cereals,Kharif,0,0.01,4579
Punjab,Amritsar,Nutri/Coarse Cereals,Total,0,0.01,4579
Punjab,Amritsar,Cereals,Kharif,1.83,6.28,3439
Punjab,Amritsar,Cereals,Rabi,1.86,9.67,5188
Punjab,Amritsar,Cereals,Total,3.69,15.95,4323
Punjab,Amritsar,Moong,Summer,0.01,0.01,650
Punjab,Amritsar,Moong,Total,0.01,0.01,650
Punjab,Amritsar,Total Pulses,Total,0.01,0.01,650
Punjab,Amritsar,Total Food Grains,Kharif,1.83,6.28,3439
Punjab,Amritsar,Total Food Grains,Rabi,1.86,9.67,5188
Punjab,Amritsar,Total Food Grains,Summer,0.01,0.01,650
Punjab,Amritsar,Total Food Grains,Total,3.7,15.95,4312
Punjab,Barnala,Rice,Kharif,1.15,5.62,4909
Punjab,Barnala,Rice,Total,1.15,5.62,4909
Punjab,Barnala,Wheat,Rabi,1.14,6.03,5276
Punjab,Barnala,Wheat,Total,1.14,6.03,5276
Punjab,Barnala,Maize,Kharif,0,0,4234
Punjab,Barnala,Maize,Total,0,0,4234
Punjab,Barnala,Barley,Rabi,0,0.01,4009
Punjab,Barnala,Barley,Total,0,0.01,4009
Punjab,Barnala,Bajra,Kharif,0,0,948
Punjab,Barnala,Bajra,Total,0,0,948
Punjab,Barnala,Shree Anna /Nutri Cereals,Kharif,0,0,948
Punjab,Barnala,Shree Anna /Nutri Cereals,Total,0,0,948
Punjab,Barnala,Nutri/Coarse Cereals,Kharif,0,0.01,2591
Punjab,Barnala,Nutri/Coarse Cereals,Rabi,0,0.01,4009
Punjab,Barnala,Nutri/Coarse Cereals,Total,0.01,0.02,3442
Punjab,Barnala,Cereals,Kharif,1.15,5.63,4905
Punjab,Barnala,Cereals,Rabi,1.15,6.04,5272
Punjab,Barnala,Cereals,Total,2.29,11.67,5089
Punjab,Barnala,Gram,Rabi,0,0,1210
Punjab,Barnala,Gram,Total,0,0,1210
Punjab,Barnala,Moong,Kharif,0.01,0.01,1384
Punjab,Barnala,Moong,Summer,0.01,0.01,1000
Punjab,Barnala,Moong,Total,0.01,0.02,1132
Punjab,Barnala,Total Pulses,Total,0.02,0.02,1136
Punjab,Barnala,Total Food Grains,Kharif,1.15,5.63,4890
Punjab,Barnala,Total Food Grains,Rabi,1.15,6.04,5269
Punjab,Barnala,Total Food Grains,Summer,0.01,0.01,1000
Punjab,Barnala,Total Food Grains,Total,2.31,11.69,5062
Punjab,Bathinda,Rice,Kharif,2.17,9.81,4530
Punjab,Bathinda,Rice,Total,2.17,9.81,4530
Punjab,Bathinda,Wheat,Rabi,2.55,13.66,5350
Punjab,Bathinda,Wheat,Total,2.55,13.66,5350
Punjab,Bathinda,Maize,Kharif,0,0,4234
Punjab,Bathinda,Maize,Total,0,0,4234
Punjab,Bathinda,Barley,Rabi,0.01,0.02,3068
Punjab,Bathinda,Barley,Total,0.01,0.02,3068
Punjab,Bathinda,Nutri/Coarse Cereals,Kharif,0,0,4234
Punjab,Bathinda,Nutri/Coarse Cereals,Rabi,0.01,0.02,3068
Punjab,Bathinda,Nutri/Coarse Cereals,Total,0.01,0.02,3263
Punjab,Bathinda,Cereals,Kharif,2.17,9.81,4530
Punjab,Bathinda,Cereals,Rabi,2.56,13.67,5345
Punjab,Bathinda,Cereals,Total,4.72,23.48,4971
Punjab,Bathinda,Gram,Rabi,0,0,1362
Punjab,Bathinda,Gram,Total,0,0,1362
Punjab,Bathinda,Moong,Kharif,0.01,0,199
Punjab,Bathinda,Moong,Summer,0,0,800
Punjab,Bathinda,Moong,Total,0.01,0,254
Punjab,Bathinda,Total Pulses,Total,0.01,0,346
Punjab,Bathinda,Total Food Grains,Kharif,2.18,9.81,4510
Punjab,Bathinda,Total Food Grains,Rabi,2.56,13.68,5344
Punjab,Bathinda,Total Food Grains,Summer,0,0,800
Punjab,Bathinda,Total Food Grains,Total,4.74,23.49,4960
Punjab,Faridkot,Rice,Kharif,1.17,5.14,4388
Punjab,Faridkot,Rice,Total,1.17,5.14,4388
Punjab,Faridkot,Wheat,Rabi,1.15,6.08,5289
Punjab,Faridkot,Wheat,Total,1.15,6.08,5289
Punjab,Faridkot,Barley,Rabi,0,0,3800
Punjab,Faridkot,Barley,Total,0,0,3800
Punjab,Faridkot,Nutri/Coarse Cereals,Rabi,0,0,3800
Punjab,Faridkot,Nutri/Coarse Cereals,Total,0,0,3800
Punjab,Faridkot,Cereals,Kharif,1.17,5.14,4388
Punjab,Faridkot,Cereals,Rabi,1.15,6.08,5288
Punjab,Faridkot,Cereals,Total,2.32,11.22,4834
Punjab,Faridkot,Gram,Rabi,0,0,1710
Punjab,Faridkot,Gram,Total,0,0,1710
Punjab,Faridkot,Moong,Kharif,0,0,1106
Punjab,Faridkot,Moong,Summer,0.01,0,776
Punjab,Faridkot,Moong,Total,0.01,0,831
Punjab,Faridkot,Total Pulses,Total,0.01,0.01,859
Punjab,Faridkot,Total Food Grains,Kharif,1.17,5.14,4385
